customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,No,42,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Electronic check,62.57,,No
CUST-00001,Female,1,Yes,Yes,68,Yes,No,DSL,No,Yes,Yes,No,No internet service,Yes,Two year,No,Bank transfer (automatic),27.09,5746.15,No
CUST-00002,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),50.54,555.48,No
CUST-00003,Male,0,Yes,No,69,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),65.18,5653.15,No
CUST-00004,Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),42.12,7627.36,No
CUST-00005,Female,1,Yes,No,66,Yes,No,No,Yes,Yes,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),87.11,4999.88,No
CUST-00006,Male,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,100.31,2939.35,No
CUST-00007,Male,0,No,No,35,No,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,97.03,4809.78,No
CUST-00008,Male,0,No,No,70,No,No phone service,DSL,No,No,No,No,Yes,No internet service,Two year,No,Credit card (automatic),75.91,2860.46,No
CUST-00009,Female,0,No,No,14,No,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),64.51,2520.16,No
CUST-00010,Male,0,No,No,17,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),112.52,60.2,Yes
